"","REP","INV","POL","FAML","REP*POL","SEC","TRUST"
"TRST1",0,0,0,0,0,0,0.849
"TRST2",0,0,0,0,0,0,0.844
"TRST3",0,0,0,0,0,0,0.86
"TRST4",0,0,0,0,0,0,0.837
"PSEC1",0,0,0,0,0,0.724,0
"PSEC2",0,0,0,0,0,0.822,0
"PSEC3",0,0,0,0,0,0.803,0
"PSEC4",0,0,0,0,0,0.762,0
"PREP1",0.558,0,0,0,0,0,0
"PREP2",0.866,0,0,0,0,0,0
"PREP3",0.906,0,0,0,0,0,0
"PREP4",0.744,0,0,0,0,0,0
"PINV1",0,0.818,0,0,0,0,0
"PINV2",0,0.889,0,0,0,0,0
"PINV3",0,0.807,0,0,0,0,0
"PPSS1",0,0,0.8,0,0,0,0
"PPSS2",0,0,0.876,0,0,0,0
"PPSS3",0,0,0.815,0,0,0,0
"FAML1",0,0,0,1,0,0,0
"PREP1*PPSS1",0,0,0,0,0.581,0,0
"PREP1*PPSS2",0,0,0,0,0.51,0,0
"PREP1*PPSS3",0,0,0,0,0.506,0,0
"PREP2*PPSS1",0,0,0,0,0.509,0,0
"PREP2*PPSS2",0,0,0,0,0.421,0,0
"PREP2*PPSS3",0,0,0,0,0.336,0,0
"PREP3*PPSS1",0,0,0,0,0.236,0,0
"PREP3*PPSS2",0,0,0,0,0.555,0,0
"PREP3*PPSS3",0,0,0,0,0.466,0,0
"PREP4*PPSS1",0,0,0,0,0.9,0,0
"PREP4*PPSS2",0,0,0,0,0.836,0,0
"PREP4*PPSS3",0,0,0,0,0.859,0,0
