"","sec_pc1","sec_pc2","sec_pc3"
"Q1",0.816984615032239,-0.139412347030467,-0.00211592673793286
"Q2",0.672608363334709,-0.0137552566850913,0.0891744025405396
"Q3",0.765521535202766,-0.0326965122493912,0.0896861059043003
"Q4",0.623373254503666,0.643078262050602,0.108031860223544
"Q5",0.690084109686061,-0.0312646645727868,-0.542354569643352
"Q6",0.682802863181316,-0.104620942131413,0.207232000454084
"Q7",0.656624864984585,-0.317631963239943,0.324176779339004
"Q8",0.786105436971894,0.0423598314354431,-0.343212951084648
"Q9",0.723029522150503,-0.231646182865665,0.20355603787034
"Q10",0.686152908931024,-0.0986803775028613,-0.532678748658023
"Q11",0.752973494236014,-0.261006729298692,0.172516196062946
"Q12",0.630350528465897,0.637531242993483,0.121522833769562
"Q13",0.71190848047,-0.0646383654088459,0.0843359185053903
"Q14",0.811467690609601,-0.099700163356344,0.156787045965743
"Q15",0.704042817788738,0.0105793645652647,-0.332546875605409
"Q16",0.757561579972165,-0.202815914917401,0.183170175018565
"Q17",0.617533600929521,0.664260505194271,0.110061160382518
"Q18",0.80672839840296,-0.113604323386806,-0.0651891451900837
